id,name,is_tip,is_root,depth,parent_id,branch_length,support,n_children,n_descendants,n_desc_tips,label,meta_inferred_taxonomy,meta_mitogenome_id,meta_species,meta_taxonomy,meta_group
7c777d91-8722-4848-8e84-67463bc6bcae,,False,True,0,,,,3,51,27,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida']",,,,
1eb3645d-5575-4046-9e7a-4d1199e78b5a,,False,False,1,7c777d91-8722-4848-8e84-67463bc6bcae,0.4985170679,"{'bootstrap': 100.0, 'alrt': 100.0}",2,46,24,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Araneae']",,,,
1cdf64da-7237-473a-b8ea-57863faac131,,False,False,2,1eb3645d-5575-4046-9e7a-4d1199e78b5a,0.4412777825,"{'bootstrap': 100.0, 'alrt': 100.0}",2,44,23,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Araneae']",,,,
0440d92b-c93e-48af-9350-2c07eba0c2ff,,False,False,3,1cdf64da-7237-473a-b8ea-57863faac131,0.0558036674,"{'bootstrap': 97.8, 'alrt': 98.0}",2,40,21,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Araneae', 'Araneomorphae']",,,,
5a1effe2-d9ab-4446-a535-d9172daef93d,,False,False,4,0440d92b-c93e-48af-9350-2c07eba0c2ff,0.1144096611,"{'bootstrap': 100.0, 'alrt': 100.0}",2,30,16,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Araneae', 'Araneomorphae', 'Entelegynae']",,,,
7fcfb7c0-9e33-4a18-9faf-81ad24b0f242,,False,False,5,5a1effe2-d9ab-4446-a535-d9172daef93d,0.0945166695,"{'bootstrap': 100.0, 'alrt': 100.0}",2,14,8,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Araneae', 'Araneomorphae', 'Entelegynae']",,,,
4e27cd4d-a525-421c-b7c0-df2f30edd826,,False,False,6,7fcfb7c0-9e33-4a18-9faf-81ad24b0f242,0.0314100466,"{'bootstrap': 95.2, 'alrt': 90.0}",2,2,2,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Araneae', 'Araneomorphae', 'Entelegynae']",,,,
4ba4f2be-e005-4f3b-a786-d6c7a9b23682,Agelena silvatica NC_033971.1,True,False,7,4e27cd4d-a525-421c-b7c0-df2f30edd826,0.2704890077,,0,0,0,Agelena silvatica NC_033971.1,,NC_033971.1,Agelena silvatica,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Araneae', 'Araneomorphae', 'Entelegynae', 'Agelenidae', 'Agelena']",reference
f3dfb48c-fe40-4f67-9bda-c883ea3d7ec1,Desis jiaxiangi NC_060386.1,True,False,7,4e27cd4d-a525-421c-b7c0-df2f30edd826,0.2589417995,,0,0,0,Desis jiaxiangi NC_060386.1,,NC_060386.1,Desis jiaxiangi,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Araneae', 'Araneomorphae', 'Entelegynae', 'Dictynoidea', 'Desidae', 'Desis']",other_spiders
019996ef-885c-4d32-8d88-0266bd41b62d,,False,False,6,7fcfb7c0-9e33-4a18-9faf-81ad24b0f242,0.0262825613,"{'bootstrap': 62.7, 'alrt': 72.0}",2,10,6,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Araneae', 'Araneomorphae', 'Entelegynae']",,,,
